Province,Country,Date,Confirmed,Deaths,Recovered
Henan,China,14/2/20,1184,11,357
Zhejiang,China,14/2/20,1155,0,403
Hunan,China,14/2/20,988,2,364
Anhui,China,14/2/20,934,6,193
Jiangxi,China,14/2/20,900,1,187
Jiangsu,China,14/2/20,593,0,157
Chongqing,China,14/2/20,537,5,152
Shandong,China,14/2/20,523,2,136
Sichuan,China,14/2/20,463,1,114
Heilongjiang,China,14/2/20,419,11,47
Beijing,China,14/2/20,372,3,80
Shanghai,China,14/2/20,318,1,90
Hebei,China,14/2/20,283,3,87
Fujian,China,14/2/20,281,0,63
Shaanxi,China,14/2/20,230,0,54
Guangxi,China,14/2/20,226,2,36
Diamond Princess cruise ship,Others,14/2/20,218,0,0
Yunnan,China,14/2/20,162,0,36
Hainan,China,14/2/20,159,4,43
Guizhou,China,14/2/20,140,1,28
Shanxi,China,14/2/20,127,0,38
Tianjin,China,14/2/20,120,3,31
Liaoning,China,14/2/20,119,1,29
Gansu,China,14/2/20,90,2,39
Jilin,China,14/2/20,86,1,25
Ningxia,China,14/2/20,67,0,24
,Singapore,14/2/20,67,0,17
Inner Mongolia,China,14/2/20,65,0,6
Xinjiang,China,14/2/20,65,1,6
Hong Kong,Hong Kong,14/2/20,56,1,1
,Thailand,14/2/20,33,0,12
,Japan,14/2/20,29,1,9
,South Korea,14/2/20,28,0,7
,Malaysia,14/2/20,19,0,3
Qinghai,China,14/2/20,18,0,11
Taiwan,Taiwan,14/2/20,18,0,2
,Germany,14/2/20,16,0,1
,Vietnam,14/2/20,16,0,7
,France,14/2/20,11,0,2
Macau,Macau,14/2/20,10,0,3
,United Kingdom,14/2/20,9,0,1
,United Arab Emirates,14/2/20,8,0,1
Queensland,Australia,14/2/20,5,0,0
New South Wales,Australia,14/2/20,4,0,4
Victoria,Australia,14/2/20,4,0,4
British Columbia,Canada,14/2/20,4,0,0
,India,14/2/20,3,0,0
,Italy,14/2/20,3,0,0
,Philippines,14/2/20,3,1,1
South Australia,Australia,14/2/20,2,0,0
"Toronto, ON",Canada,14/2/20,2,0,0
,RUnited Statessia,14/2/20,2,0,2
,Spain,14/2/20,2,0,0
"Chicago, IL",United States,14/2/20,2,0,2
"San Benito, CA",United States,14/2/20,2,0,0
"San Diego County, CA",United States,14/2/20,2,0,0
"Santa Clara, CA",United States,14/2/20,2,0,0
,Belgium,14/2/20,1,0,0
,Cambodia,14/2/20,1,0,1
"London, ON",Canada,14/2/20,1,0,1
,Egypt,14/2/20,1,0,0
,Finland,14/2/20,1,0,1
Tibet,China,14/2/20,1,0,1
,Nepal,14/2/20,1,0,1
,Sri Lanka,14/2/20,1,0,1
,Sweden,14/2/20,1,0,0
"Boston, MA",United States,14/2/20,1,0,0
"Los Angeles, CA",United States,14/2/20,1,0,0
"Madison, WI",United States,14/2/20,1,0,0
"Orange, CA",United States,14/2/20,1,0,0
"San Antonio, TX",United States,14/2/20,1,0,0
"Seattle, WA",United States,14/2/20,1,0,1
"Tempe, AZ",United States,14/2/20,1,0,0
Hubei,China,15/2/20,56249,1596,5623
Guangdong,China,15/2/20,1294,2,410
Henan,China,15/2/20,1212,13,391
Zhejiang,China,15/2/20,1162,0,428
Hunan,China,15/2/20,1001,2,425
Anhui,China,15/2/20,950,6,221
Jiangxi,China,15/2/20,913,1,210
Jiangsu,China,15/2/20,604,0,186
Chongqing,China,15/2/20,544,5,184
Shandong,China,15/2/20,532,2,156
Sichuan,China,15/2/20,470,1,119
Heilongjiang,China,15/2/20,425,11,68
Beijing,China,15/2/20,375,4,98
Shanghai,China,15/2/20,326,1,124
Hebei,China,15/2/20,291,3,101
Fujian,China,15/2/20,285,0,71
Diamond Princess cruise ship,Others,15/2/20,285,0,0
Guangxi,China,15/2/20,235,2,44
Shaanxi,China,15/2/20,232,0,60
Yunnan,China,15/2/20,168,0,42
Hainan,China,15/2/20,162,4,39
Guizhou,China,15/2/20,143,1,41
Shanxi,China,15/2/20,128,0,46
Tianjin,China,15/2/20,122,3,37
Liaoning,China,15/2/20,119,1,31
Gansu,China,15/2/20,90,2,49
Jilin,China,15/2/20,88,1,26
,Singapore,15/2/20,72,0,18
Ningxia,China,15/2/20,70,0,33
Xinjiang,China,15/2/20,70,1,10
Inner Mongolia,China,15/2/20,68,0,7
Hong Kong,Hong Kong,15/2/20,56,1,1
,Japan,15/2/20,43,1,12
,Thailand,15/2/20,33,0,12
,South Korea,15/2/20,28,0,9
,Malaysia,15/2/20,22,0,7
Qinghai,China,15/2/20,18,0,13
Taiwan,Taiwan,15/2/20,18,0,2
,Germany,15/2/20,16,0,1
,Vietnam,15/2/20,16,0,7
,France,15/2/20,12,1,4
Macau,Macau,15/2/20,10,0,3
,United Kingdom,15/2/20,9,0,1
,United Arab Emirates,15/2/20,8,0,3
Queensland,Australia,15/2/20,5,0,0
New South Wales,Australia,15/2/20,4,0,4
Victoria,Australia,15/2/20,4,0,4
British Columbia,Canada,15/2/20,4,0,0
,India,15/2/20,3,0,0
,Italy,15/2/20,3,0,0
,Philippines,15/2/20,3,1,1
South Australia,Australia,15/2/20,2,0,0
"Toronto, ON",Canada,15/2/20,2,0,0
,RUnited Statessia,15/2/20,2,0,2
,Spain,15/2/20,2,0,2
"Chicago, IL",United States,15/2/20,2,0,2
"San Benito, CA",United States,15/2/20,2,0,0
"San Diego County, CA",United States,15/2/20,2,0,0
"Santa Clara, CA",United States,15/2/20,2,0,0
,Belgium,15/2/20,1,0,0
,Cambodia,15/2/20,1,0,1
"London, ON",Canada,15/2/20,1,0,1
,Egypt,15/2/20,1,0,0
,Finland,15/2/20,1,0,1
Tibet,China,15/2/20,1,0,1
,Nepal,15/2/20,1,0,1
,Sri Lanka,15/2/20,1,0,1
,Sweden,15/2/20,1,0,0
"Boston, MA",United States,15/2/20,1,0,0
"Los Angeles, CA",United States,15/2/20,1,0,0
"Madison, WI",United States,15/2/20,1,0,0
"Orange, CA",United States,15/2/20,1,0,0
"San Antonio, TX",United States,15/2/20,1,0,0
"Seattle, WA",United States,15/2/20,1,0,1
"Tempe, AZ",United States,15/2/20,1,0,0
Hubei,China,16/2/20,58182,1696,6639
Guangdong,China,16/2/20,1316,2,465
Henan,China,16/2/20,1231,13,440
Zhejiang,China,16/2/20,1167,0,456
Hunan,China,16/2/20,1004,3,464
Anhui,China,16/2/20,962,6,255
Jiangxi,China,16/2/20,925,1,240
Jiangsu,China,16/2/20,617,0,218
Chongqing,China,16/2/20,551,5,207
Shandong,China,16/2/20,537,2,173
Sichuan,China,16/2/20,481,3,131
Heilongjiang,China,16/2/20,445,11,79
Beijing,China,16/2/20,380,4,108
Diamond Princess cruise ship,Others,16/2/20,355,0,0
Shanghai,China,16/2/20,328,1,140
Hebei,China,16/2/20,300,3,105
Fujian,China,16/2/20,287,0,82
Guangxi,China,16/2/20,237,2,49
Shaanxi,China,16/2/20,236,0,71
Yunnan,China,16/2/20,171,0,42
Hainan,China,16/2/20,162,4,52
Guizhou,China,16/2/20,144,1,46
Shanxi,China,16/2/20,129,0,50
Tianjin,China,16/2/20,124,3,45
Liaoning,China,16/2/20,121,1,40
Gansu,China,16/2/20,90,2,54
Jilin,China,16/2/20,89,1,30
,Singapore,16/2/20,75,0,18
Xinjiang,China,16/2/20,71,1,12
Inner Mongolia,China,16/2/20,70,0,8
Ningxia,China,16/2/20,70,0,33
,Japan,16/2/20,59,1,12
Hong Kong,Hong Kong,16/2/20,57,1,2
,Thailand,16/2/20,34,0,14
,South Korea,16/2/20,29,0,9
,Malaysia,16/2/20,22,0,7
Taiwan,Taiwan,16/2/20,20,1,2
Qinghai,China,16/2/20,18,0,13
,Germany,16/2/20,16,0,1
,Vietnam,16/2/20,16,0,7
,France,16/2/20,12,1,4
Macau,Macau,16/2/20,10,0,5
,United Kingdom,16/2/20,9,0,8
,United Arab Emirates,16/2/20,9,0,4
Queensland,Australia,16/2/20,5,0,0
New South Wales,Australia,16/2/20,4,0,4
Victoria,Australia,16/2/20,4,0,4
British Columbia,Canada,16/2/20,4,0,0
,India,16/2/20,3,0,3
,Italy,16/2/20,3,0,0
,Philippines,16/2/20,3,1,1
South Australia,Australia,16/2/20,2,0,0
"Toronto, ON",Canada,16/2/20,2,0,0
,RUnited Statessia,16/2/20,2,0,2
,Spain,16/2/20,2,0,2
"Chicago, IL",United States,16/2/20,2,0,2
"San Benito, CA",United States,16/2/20,2,0,0
"San Diego County, CA",United States,16/2/20,2,0,0
"Santa Clara, CA",United States,16/2/20,2,0,0
,Belgium,16/2/20,1,0,0
,Cambodia,16/2/20,1,0,1
"London, ON",Canada,16/2/20,1,0,1
,Egypt,16/2/20,1,0,0
,Finland,16/2/20,1,0,1
Tibet,China,16/2/20,1,0,1
,Nepal,16/2/20,1,0,1
,Sri Lanka,16/2/20,1,0,1
,Sweden,16/2/20,1,0,0
"Boston, MA",United States,16/2/20,1,0,0
"Los Angeles, CA",United States,16/2/20,1,0,0
"Madison, WI",United States,16/2/20,1,0,0
"Orange, CA",United States,16/2/20,1,0,0
"San Antonio, TX",United States,16/2/20,1,0,0
"Seattle, WA",United States,16/2/20,1,0,1
"Tempe, AZ",United States,16/2/20,1,0,0
Hubei,China,17/2/20,59989,1789,7862
Guangdong,China,17/2/20,1322,4,524
Henan,China,17/2/20,1246,16,509
Zhejiang,China,17/2/20,1171,0,507
Hunan,China,17/2/20,1006,3,498
Anhui,China,17/2/20,973,6,280
Jiangxi,China,17/2/20,930,1,275
Jiangsu,China,17/2/20,626,0,258
Chongqing,China,17/2/20,553,5,225
Shandong,China,17/2/20,541,2,191
Sichuan,China,17/2/20,495,3,156
Heilongjiang,China,17/2/20,457,11,85
Diamond Princess cruise ship,Others,17/2/20,454,0,0
Beijing,China,17/2/20,381,4,114
Shanghai,China,17/2/20,333,1,161
Hebei,China,17/2/20,301,3,122
Fujian,China,17/2/20,290,0,90
Shaanxi,China,17/2/20,240,0,79
Guangxi,China,17/2/20,238,2,53
Yunnan,China,17/2/20,171,0,47
Hainan,China,17/2/20,163,4,59
Guizhou,China,17/2/20,146,1,57
Shanxi,China,17/2/20,130,0,53
Tianjin,China,17/2/20,125,3,46
Liaoning,China,17/2/20,121,1,43
Gansu,China,17/2/20,91,2,58
Jilin,China,17/2/20,89,1,34
,Singapore,17/2/20,77,0,24
Xinjiang,China,17/2/20,75,1,12
Inner Mongolia,China,17/2/20,72,0,8
Ningxia,China,17/2/20,70,0,35
,Japan,17/2/20,66,1,12
Hong Kong,Hong Kong,17/2/20,60,1,2
,Thailand,17/2/20,35,0,15
,South Korea,17/2/20,30,0,10
,Malaysia,17/2/20,22,0,7
Taiwan,Taiwan,17/2/20,22,1,2
Qinghai,China,17/2/20,18,0,13
,Germany,17/2/20,16,0,1
,Vietnam,17/2/20,16,0,7
,France,17/2/20,12,1,4
Macau,Macau,17/2/20,10,0,5
,United Kingdom,17/2/20,9,0,8
,United Arab Emirates,17/2/20,9,0,4
Queensland,Australia,17/2/20,5,0,0
British Columbia,Canada,17/2/20,5,0,0
New South Wales,Australia,17/2/20,4,0,4
Victoria,Australia,17/2/20,4,0,4
,India,17/2/20,3,0,3
,Italy,17/2/20,3,0,0
,Philippines,17/2/20,3,1,1
South Australia,Australia,17/2/20,2,0,2
"Toronto, ON",Canada,17/2/20,2,0,0
,RUnited Statessia,17/2/20,2,0,2
,Spain,17/2/20,2,0,2
"Chicago, IL",United States,17/2/20,2,0,2
"San Benito, CA",United States,17/2/20,2,0,0
"San Diego County, CA",United States,17/2/20,2,0,0
"Santa Clara, CA",United States,17/2/20,2,0,0
,Belgium,17/2/20,1,0,1
,Cambodia,17/2/20,1,0,1
"London, ON",Canada,17/2/20,1,0,1
,Egypt,17/2/20,1,0,0
,Finland,17/2/20,1,0,1
Tibet,China,17/2/20,1,0,1
,Nepal,17/2/20,1,0,1
,Sri Lanka,17/2/20,1,0,1
,Sweden,17/2/20,1,0,0
"Boston, MA",United States,17/2/20,1,0,0
"Los Angeles, CA",United States,17/2/20,1,0,0
"Madison, WI",United States,17/2/20,1,0,0
"Orange, CA",United States,17/2/20,1,0,0
"San Antonio, TX",United States,17/2/20,1,0,0
"Seattle, WA",United States,17/2/20,1,0,1
"Tempe, AZ",United States,17/2/20,1,0,0
Hubei,China,18/2/20,61682,1921,9128
Guangdong,China,18/2/20,1328,4,565
Henan,China,18/2/20,1257,19,522
Zhejiang,China,18/2/20,1172,0,535
Hunan,China,18/2/20,1007,4,527
Anhui,China,18/2/20,982,6,361
Jiangxi,China,18/2/20,933,1,310
Jiangsu,China,18/2/20,629,0,280
Chongqing,China,18/2/20,555,5,254
Shandong,China,18/2/20,543,3,211
Diamond Princess cruise ship,Others,18/2/20,542,0,0
Sichuan,China,18/2/20,508,3,169
Heilongjiang,China,18/2/20,464,11,111
Beijing,China,18/2/20,387,4,122
Shanghai,China,18/2/20,333,1,177
Hebei,China,18/2/20,306,4,136
Fujian,China,18/2/20,292,0,93
Guangxi,China,18/2/20,242,2,69
Shaanxi,China,18/2/20,240,0,89
Yunnan,China,18/2/20,172,0,57
Hainan,China,18/2/20,163,4,79
Guizhou,China,18/2/20,146,2,66
Shanxi,China,18/2/20,131,0,61
Tianjin,China,18/2/20,128,3,48
Liaoning,China,18/2/20,121,1,53
Gansu,China,18/2/20,91,2,62
Jilin,China,18/2/20,89,1,36
,Singapore,18/2/20,81,0,29
Xinjiang,China,18/2/20,76,1,12
,Japan,18/2/20,74,1,13
Inner Mongolia,China,18/2/20,73,0,8
Ningxia,China,18/2/20,70,0,42
Hong Kong,Hong Kong,18/2/20,62,1,2
,Thailand,18/2/20,35,0,15
,South Korea,18/2/20,31,0,12
,Malaysia,18/2/20,22,0,13
Taiwan,Taiwan,18/2/20,22,1,2
Qinghai,China,18/2/20,18,0,15
,Germany,18/2/20,16,0,12
,Vietnam,18/2/20,16,0,7
,France,18/2/20,12,1,4
Macau,Macau,18/2/20,10,0,5
,United Kingdom,18/2/20,9,0,8
,United Arab Emirates,18/2/20,9,0,4
Queensland,Australia,18/2/20,5,0,0
British Columbia,Canada,18/2/20,5,0,0
New South Wales,Australia,18/2/20,4,0,4
Victoria,Australia,18/2/20,4,0,4
,India,18/2/20,3,0,3
,Italy,18/2/20,3,0,0
,Philippines,18/2/20,3,1,1
South Australia,Australia,18/2/20,2,0,2
"Toronto, ON",Canada,18/2/20,2,0,0
,RUnited Statessia,18/2/20,2,0,2
,Spain,18/2/20,2,0,2
"Chicago, IL",United States,18/2/20,2,0,2
"San Benito, CA",United States,18/2/20,2,0,0
"San Diego County, CA",United States,18/2/20,2,0,0
"Santa Clara, CA",United States,18/2/20,2,0,0
,Belgium,18/2/20,1,0,1
,Cambodia,18/2/20,1,0,1
"London, ON",Canada,18/2/20,1,0,1
,Egypt,18/2/20,1,0,0
,Finland,18/2/20,1,0,1
Tibet,China,18/2/20,1,0,1
,Nepal,18/2/20,1,0,1
,Sri Lanka,18/2/20,1,0,1
,Sweden,18/2/20,1,0,0
"Boston, MA",United States,18/2/20,1,0,0
"Los Angeles, CA",United States,18/2/20,1,0,0
"Madison, WI",United States,18/2/20,1,0,0
"Orange, CA",United States,18/2/20,1,0,0
"San Antonio, TX",United States,18/2/20,1,0,0
"Seattle, WA",United States,18/2/20,1,0,1
"Tempe, AZ",United States,18/2/20,1,0,0
Hubei,China,19/2/20,62031,2029,10337
Guangdong,China,19/2/20,1331,5,606
Henan,China,19/2/20,1262,19,573
Zhejiang,China,19/2/20,1174,0,604
Hunan,China,19/2/20,1008,4,561
Anhui,China,19/2/20,986,6,413
Jiangxi,China,19/2/20,934,1,362
Jiangsu,China,19/2/20,631,0,318
Diamond Princess cruise ship,Others,19/2/20,621,0,1
Chongqing,China,19/2/20,560,5,274
Shandong,China,19/2/20,544,3,231
Sichuan,China,19/2/20,514,3,188
Heilongjiang,China,19/2/20,470,12,120
Beijing,China,19/2/20,393,4,145
Shanghai,China,19/2/20,333,2,186
Hebei,China,19/2/20,306,4,152
Fujian,China,19/2/20,293,0,112
Guangxi,China,19/2/20,244,2,86
Shaanxi,China,19/2/20,242,0,102
Yunnan,China,19/2/20,172,1,60
Hainan,China,19/2/20,168,4,84
Guizhou,China,19/2/20,146,2,70
Shanxi,China,19/2/20,131,0,68
Tianjin,China,19/2/20,130,3,54
Liaoning,China,19/2/20,121,1,55
Gansu,China,19/2/20,91,2,65
Jilin,China,19/2/20,90,1,37
,Japan,19/2/20,84,1,18
,Singapore,19/2/20,84,0,34
Xinjiang,China,19/2/20,76,1,20
Inner Mongolia,China,19/2/20,75,0,10
Ningxia,China,19/2/20,71,0,42
Hong Kong,Hong Kong,19/2/20,63,2,5
,Thailand,19/2/20,35,0,15
,South Korea,19/2/20,31,0,12
Taiwan,Taiwan,19/2/20,23,1,2
,Malaysia,19/2/20,22,0,15
Qinghai,China,19/2/20,18,0,16
,Germany,19/2/20,16,0,12
,Vietnam,19/2/20,16,0,7
,France,19/2/20,12,1,4
Macau,Macau,19/2/20,10,0,5
,United Kingdom,19/2/20,9,0,8
,United Arab Emirates,19/2/20,9,0,4
Queensland,Australia,19/2/20,5,0,0
British Columbia,Canada,19/2/20,5,0,0
New South Wales,Australia,19/2/20,4,0,4
Victoria,Australia,19/2/20,4,0,4
,India,19/2/20,3,0,3
,Italy,19/2/20,3,0,0
,Philippines,19/2/20,3,1,1
South Australia,Australia,19/2/20,2,0,2
"Toronto, ON",Canada,19/2/20,2,0,0
,Iran,19/2/20,2,2,0
,RUnited Statessia,19/2/20,2,0,2
,Spain,19/2/20,2,0,2
"Chicago, IL",United States,19/2/20,2,0,2
"San Benito, CA",United States,19/2/20,2,0,0
"San Diego County, CA",United States,19/2/20,2,0,0
"Santa Clara, CA",United States,19/2/20,2,0,0
,Belgium,19/2/20,1,0,1
,Cambodia,19/2/20,1,0,1
"London, ON",Canada,19/2/20,1,0,1
,Egypt,19/2/20,1,0,0
,Finland,19/2/20,1,0,1
Tibet,China,19/2/20,1,0,1
,Nepal,19/2/20,1,0,1
,Sri Lanka,19/2/20,1,0,1
,Sweden,19/2/20,1,0,0
"Boston, MA",United States,19/2/20,1,0,0
"Los Angeles, CA",United States,19/2/20,1,0,0
"Madison, WI",United States,19/2/20,1,0,0
"Orange, CA",United States,19/2/20,1,0,0
"San Antonio, TX",United States,19/2/20,1,0,0
"Seattle, WA",United States,19/2/20,1,0,1
"Tempe, AZ",United States,19/2/20,1,0,0
Hubei,China,20/2/20,62442,2144,11788
Guangdong,China,20/2/20,1332,5,642
Henan,China,20/2/20,1265,19,637
Zhejiang,China,20/2/20,1175,1,633
Hunan,China,20/2/20,1010,4,634
Anhui,China,20/2/20,987,6,474
Jiangxi,China,20/2/20,934,1,433
Diamond Princess cruise ship,Others,20/2/20,634,2,1
Jiangsu,China,20/2/20,631,0,356
Chongqing,China,20/2/20,567,6,299
Shandong,China,20/2/20,546,4,254
Sichuan,China,20/2/20,520,3,217
Heilongjiang,China,20/2/20,476,12,136
Beijing,China,20/2/20,395,4,153
Shanghai,China,20/2/20,334,2,199
Hebei,China,20/2/20,307,5,169
Fujian,China,20/2/20,293,1,126
Guangxi,China,20/2/20,245,2,90
Shaanxi,China,20/2/20,245,1,118
Yunnan,China,20/2/20,174,2,79
Hainan,China,20/2/20,168,4,86
Guizhou,China,20/2/20,146,2,72
Shanxi,China,20/2/20,132,0,76
Tianjin,China,20/2/20,131,3,59
Liaoning,China,20/2/20,121,1,59
,South Korea,20/2/20,104,1,16
,Japan,20/2/20,94,1,18
Gansu,China,20/2/20,91,2,71
Jilin,China,20/2/20,91,1,43
,Singapore,20/2/20,84,0,34
Xinjiang,China,20/2/20,76,1,22
Inner Mongolia,China,20/2/20,75,0,16
Ningxia,China,20/2/20,71,0,44
Hong Kong,Hong Kong,20/2/20,68,2,6
,Thailand,20/2/20,35,0,15
Taiwan,Taiwan,20/2/20,24,1,2
,Malaysia,20/2/20,22,0,15
Qinghai,China,20/2/20,18,0,16
,Germany,20/2/20,16,0,12
,Vietnam,20/2/20,16,0,7
,France,20/2/20,12,1,4
Macau,Macau,20/2/20,10,0,6
,United Kingdom,20/2/20,9,0,8
,United Arab Emirates,20/2/20,9,0,4
Queensland,Australia,20/2/20,5,0,0
British Columbia,Canada,20/2/20,5,0,0
,Iran,20/2/20,5,2,0
New South Wales,Australia,20/2/20,4,0,4
Victoria,Australia,20/2/20,4,0,4
,India,20/2/20,3,0,3
,Italy,20/2/20,3,0,0
,Philippines,20/2/20,3,1,1
South Australia,Australia,20/2/20,2,0,2
"Toronto, ON",Canada,20/2/20,2,0,0
,RUnited Statessia,20/2/20,2,0,2
,Spain,20/2/20,2,0,2
"Chicago, IL",United States,20/2/20,2,0,2
"San Benito, CA",United States,20/2/20,2,0,0
"San Diego County, CA",United States,20/2/20,2,0,0
"Santa Clara, CA",United States,20/2/20,2,0,0
,Belgium,20/2/20,1,0,1
,Cambodia,20/2/20,1,0,1
"London, ON",Canada,20/2/20,1,0,1
,Egypt,20/2/20,1,0,0
,Finland,20/2/20,1,0,1
Tibet,China,20/2/20,1,0,1
,Nepal,20/2/20,1,0,1
,Sri Lanka,20/2/20,1,0,1
,Sweden,20/2/20,1,0,0
"Boston, MA",United States,20/2/20,1,0,0
"Los Angeles, CA",United States,20/2/20,1,0,0
"Madison, WI",United States,20/2/20,1,0,0
"Orange, CA",United States,20/2/20,1,0,0
"San Antonio, TX",United States,20/2/20,1,0,0
"Seattle, WA",United States,20/2/20,1,0,1
"Tempe, AZ",United States,20/2/20,1,0,0
Hubei,China,21/2/20,62662,2144,11881
Guangdong,China,21/2/20,1333,5,690
Henan,China,21/2/20,1267,19,736
Zhejiang,China,21/2/20,1203,1,679
Hunan,China,21/2/20,1011,4,661
Anhui,China,21/2/20,988,6,539
Jiangxi,China,21/2/20,934,1,489
Shandong,China,21/2/20,749,4,281
Diamond Princess cruise ship,Others,21/2/20,634,2,1
Jiangsu,China,21/2/20,631,0,373
Chongqing,China,21/2/20,572,6,316
Sichuan,China,21/2/20,525,3,231
Heilongjiang,China,21/2/20,479,12,175
Beijing,China,21/2/20,396,4,169
Shanghai,China,21/2/20,334,2,211
Hebei,China,21/2/20,308,5,184
Fujian,China,21/2/20,293,1,149
Guangxi,China,21/2/20,246,2,97
Shaanxi,China,21/2/20,245,1,134
,South Korea,21/2/20,204,2,16
Yunnan,China,21/2/20,174,2,96
Hainan,China,21/2/20,168,4,95
Guizhou,China,21/2/20,146,2,77
Shanxi,China,21/2/20,132,0,78
Tianjin,China,21/2/20,132,3,62
Liaoning,China,21/2/20,121,1,61
,Japan,21/2/20,105,1,22
Gansu,China,21/2/20,91,2,76
Jilin,China,21/2/20,91,1,45
,Singapore,21/2/20,85,0,37
Xinjiang,China,21/2/20,76,1,24
Inner Mongolia,China,21/2/20,75,0,17
Ningxia,China,21/2/20,71,0,48
Hong Kong,Hong Kong,21/2/20,68,2,5
,Thailand,21/2/20,35,0,17
Taiwan,Taiwan,21/2/20,26,1,2
,Malaysia,21/2/20,22,0,15
,Italy,21/2/20,20,1,0
,Iran,21/2/20,18,4,0
Qinghai,China,21/2/20,18,0,18
,Germany,21/2/20,16,0,14
,Vietnam,21/2/20,16,0,14
,France,21/2/20,12,1,4
"Ashland, NE",United States,21/2/20,11,0,0
Macau,Macau,21/2/20,10,0,6
,United Kingdom,21/2/20,9,0,8
,United Arab Emirates,21/2/20,9,0,4
British Columbia,Canada,21/2/20,6,0,0
Queensland,Australia,21/2/20,5,0,1
"Travis, CA",United States,21/2/20,5,0,0
From Diamond Princess,Australia,21/2/20,4,0,0
New South Wales,Australia,21/2/20,4,0,4
Victoria,Australia,21/2/20,4,0,4
,India,21/2/20,3,0,3
,Philippines,21/2/20,3,1,1
South Australia,Australia,21/2/20,2,0,2
"Toronto, ON",Canada,21/2/20,2,0,2
,RUnited Statessia,21/2/20,2,0,2
,Spain,21/2/20,2,0,2
"Chicago, IL",United States,21/2/20,2,0,2
"Lackland, TX",United States,21/2/20,2,0,0
"San Benito, CA",United States,21/2/20,2,0,0
"San Diego County, CA",United States,21/2/20,2,0,1
"Santa Clara, CA",United States,21/2/20,2,0,1
,Belgium,21/2/20,1,0,1
,Cambodia,21/2/20,1,0,1
"London, ON",Canada,21/2/20,1,0,1
,Egypt,21/2/20,1,0,0
,Finland,21/2/20,1,0,1
From Diamond Princess,Israel,21/2/20,1,0,0
None,Lebanon,21/2/20,1,0,0
Tibet,China,21/2/20,1,0,1
,Nepal,21/2/20,1,0,1
,Sri Lanka,21/2/20,1,0,1
,Sweden,21/2/20,1,0,0
"Boston, MA",United States,21/2/20,1,0,0
"Humboldt County, CA",United States,21/2/20,1,0,0
"Los Angeles, CA",United States,21/2/20,1,0,0
"Madison, WI",United States,21/2/20,1,0,0
"Orange, CA",United States,21/2/20,1,0,0
"Sacramento County, CA",United States,21/2/20,1,0,0
"San Antonio, TX",United States,21/2/20,1,0,0
"Seattle, WA",United States,21/2/20,1,0,1
"Tempe, AZ",United States,21/2/20,1,0,0
